                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.93777,                0.59575,                0.97444,                0.82953,                0.68483,                0.74784,                0.44335,                  1.541,                 1.0571,                 1.3165,             0.00047104,             0.00047104,             0.00047104
                    149,                0.94193,                0.59486,                0.97311,                0.78409,                0.72198,                0.76267,                0.45908,                 1.5125,                 1.0356,                 1.3058,             0.00046804,             0.00046804,             0.00046804
                    150,                0.93329,                0.59215,                0.96414,                0.80633,                0.71385,                0.76197,                0.45209,                 1.5117,                 1.0437,                 1.3159,             0.00046504,             0.00046504,             0.00046504
                    151,                0.93628,                0.59382,                0.96635,                0.80018,                0.68264,                0.74635,                0.45006,                 1.5024,                 1.0341,                 1.3097,             0.00046204,             0.00046204,             0.00046204
                    152,                0.91658,                0.57258,                0.95889,                 0.7877,                0.70362,                 0.7468,                0.45178,                 1.5291,                 1.0492,                 1.3262,             0.00045904,             0.00045904,             0.00045904
                    153,                0.93093,                0.58872,                0.96081,                 0.7838,                0.69214,                0.73125,                0.43903,                 1.5523,                 1.0912,                 1.3214,             0.00045605,             0.00045605,             0.00045605
                    154,                0.92273,                0.58632,                0.96783,                0.81793,                0.69439,                0.76473,                 0.4635,                 1.5406,                 1.0567,                 1.3054,             0.00045305,             0.00045305,             0.00045305
                    155,                0.91346,                0.57626,                0.97062,                0.82866,                0.68727,                0.76618,                0.46338,                  1.532,                  1.031,                  1.298,             0.00045005,             0.00045005,             0.00045005
                    156,                0.93729,                0.58947,                0.96927,                0.80884,                0.67957,                0.75423,                0.44576,                 1.5652,                 1.1058,                 1.3225,             0.00044705,             0.00044705,             0.00044705
                    157,                0.91519,                0.58161,                0.96045,                0.82077,                0.67204,                0.74387,                 0.4521,                 1.5352,                 1.0714,                   1.31,             0.00044405,             0.00044405,             0.00044405
                    158,                0.91203,                0.56988,                0.95282,                0.80101,                 0.6588,                0.73297,                0.45087,                 1.5147,                 1.0734,                 1.2961,             0.00044105,             0.00044105,             0.00044105
                    159,                0.90695,                0.56628,                 0.9554,                 0.8082,                0.69772,                0.76373,                 0.4605,                 1.5274,                 1.0448,                  1.313,             0.00043805,             0.00043805,             0.00043805
                    160,                0.90418,                0.56889,                0.96456,                0.77378,                0.72873,                0.76468,                0.45246,                 1.5368,                 1.0459,                 1.3246,             0.00043505,             0.00043505,             0.00043505
                    161,                0.91038,                0.57624,                0.95346,                0.81943,                0.68463,                0.75973,                0.44679,                 1.5526,                 1.0515,                 1.3374,             0.00043205,             0.00043205,             0.00043205
                    162,                0.90694,                0.56978,                0.95659,                0.82425,                0.66541,                0.74045,                 0.4333,                 1.5371,                 1.0748,                 1.3322,             0.00042905,             0.00042905,             0.00042905
                    163,                 0.9236,                0.58802,                0.95761,                0.84715,                0.66177,                0.74637,                0.44424,                 1.5182,                 1.0885,                 1.2992,             0.00042605,             0.00042605,             0.00042605
                    164,                0.92762,                0.57626,                0.95964,                0.82775,                0.68923,                 0.7558,                 0.4524,                 1.5145,                 1.0592,                 1.3114,             0.00042305,             0.00042305,             0.00042305
                    165,                0.89167,                0.55321,                0.95626,                0.78735,                0.70904,                0.74574,                0.45071,                 1.5279,                 1.0519,                 1.3107,             0.00042005,             0.00042005,             0.00042005
                    166,                0.91303,                0.57088,                0.96311,                0.82995,                0.67848,                0.76091,                0.45458,                 1.5252,                 1.0359,                 1.3105,             0.00041705,             0.00041705,             0.00041705
                    167,                0.90761,                 0.5733,                0.95173,                0.83447,                0.68423,                0.76846,                0.45779,                 1.5183,                 1.0346,                 1.3128,             0.00041405,             0.00041405,             0.00041405
                    168,                0.90448,                0.57119,                0.95912,                0.83581,                0.68899,                0.76053,                 0.4476,                 1.5328,                 1.0539,                 1.3178,             0.00041105,             0.00041105,             0.00041105
                    169,                0.92307,                0.56107,                0.95579,                0.79582,                0.69387,                0.73674,                 0.4389,                 1.5556,                 1.0742,                  1.335,             0.00040805,             0.00040805,             0.00040805
                    170,                 0.9123,                0.56579,                0.96809,                0.82016,                0.66938,                0.74531,                0.44957,                 1.5687,                 1.0587,                 1.3426,             0.00040505,             0.00040505,             0.00040505
                    171,                0.90538,                0.56282,                0.96228,                0.81033,                0.67931,                0.76685,                0.45827,                  1.534,                 1.0494,                 1.3226,             0.00040205,             0.00040205,             0.00040205
                    172,                0.91529,                0.57082,                0.96212,                0.81751,                0.70993,                0.77031,                0.46296,                 1.5602,                 1.0469,                  1.337,             0.00039905,             0.00039905,             0.00039905
                    173,                0.88489,                0.56015,                0.95283,                0.82424,                0.68318,                0.76752,                 0.4684,                  1.528,                 1.0641,                  1.323,             0.00039605,             0.00039605,             0.00039605
                    174,                0.88555,                0.55607,                0.94963,                0.81953,                0.69746,                0.76848,                0.45487,                 1.5293,                 1.0573,                 1.3142,             0.00039305,             0.00039305,             0.00039305
                    175,                 0.8873,                0.56994,                0.94876,                0.78474,                0.72526,                0.76844,                0.45998,                 1.5158,                 1.0245,                 1.3139,             0.00039005,             0.00039005,             0.00039005
                    176,                0.87934,                0.55367,                0.94947,                0.81517,                0.68659,                0.76069,                0.44853,                 1.5291,                 1.0847,                 1.3236,             0.00038705,             0.00038705,             0.00038705
                    177,                0.89553,                 0.5587,                0.94754,                0.78198,                0.72623,                0.76008,                0.44927,                 1.5315,                 1.0564,                 1.3177,             0.00038405,             0.00038405,             0.00038405
                    178,                0.86957,                0.55121,                0.94568,                0.81748,                0.69902,                0.76103,                 0.4551,                 1.5348,                 1.0299,                 1.3342,             0.00038105,             0.00038105,             0.00038105
                    179,                0.90139,                0.56342,                0.94782,                 0.7525,                0.73127,                0.74603,                0.44823,                 1.5604,                  1.039,                 1.3446,             0.00037805,             0.00037805,             0.00037805
                    180,                0.86485,                0.54066,                0.94225,                0.80322,                    0.7,                0.75859,                0.45264,                 1.5264,                 1.0497,                 1.3097,             0.00037505,             0.00037505,             0.00037505
                    181,                0.89676,                0.54895,                0.94599,                0.78599,                0.70246,                0.75198,                0.45072,                 1.5548,                 1.0625,                 1.3252,             0.00037205,             0.00037205,             0.00037205
                    182,                 0.8624,                0.53422,                0.94816,                0.83045,                0.69122,                0.76685,                 0.4639,                 1.5171,                  1.036,                 1.3176,             0.00036905,             0.00036905,             0.00036905
                    183,                0.88429,                0.54702,                0.95143,                0.79887,                 0.7274,                0.76835,                0.46768,                 1.5096,                 1.0262,                 1.3087,             0.00036605,             0.00036605,             0.00036605
                    184,                0.87165,                 0.5477,                0.94005,                0.82201,                0.68502,                0.76517,                0.46822,                 1.5203,                  1.031,                 1.3164,             0.00036305,             0.00036305,             0.00036305
                    185,                0.87508,                0.53359,                 0.9342,                0.78384,                0.71378,                0.75796,                 0.4554,                 1.5335,                 1.0573,                 1.3206,             0.00036005,             0.00036005,             0.00036005
                    186,                0.86832,                 0.5412,                0.94112,                0.79797,                0.70194,                 0.7445,                0.44216,                 1.5418,                 1.0731,                 1.3284,             0.00035706,             0.00035706,             0.00035706
                    187,                 0.8721,                0.53347,                0.94791,                 0.8034,                 0.7035,                0.75038,                0.45118,                 1.5535,                 1.0589,                 1.3384,             0.00035406,             0.00035406,             0.00035406
                    188,                0.85046,                0.53635,                0.93857,                0.81239,                0.68952,                0.76237,                0.45229,                 1.5479,                 1.0911,                 1.3302,             0.00035106,             0.00035106,             0.00035106
                    189,                0.87178,                0.54339,                0.94322,                0.80086,                0.70643,                 0.7618,                0.45319,                 1.5334,                 1.0677,                 1.3151,             0.00034806,             0.00034806,             0.00034806
                    190,                0.87204,                 0.5367,                 0.9498,                0.79501,                0.70087,                0.75592,                0.45453,                 1.5488,                 1.0619,                 1.3234,             0.00034506,             0.00034506,             0.00034506
                    191,                0.86346,                0.53802,                0.94807,                0.82916,                0.67265,                0.75367,                0.45252,                 1.5384,                 1.0779,                 1.3211,             0.00034206,             0.00034206,             0.00034206
                    192,                0.85981,                0.54052,                0.94175,                0.80653,                0.68494,                 0.7646,                0.44926,                 1.5348,                 1.0459,                 1.3317,             0.00033906,             0.00033906,             0.00033906
                    193,                0.84977,                0.53278,                0.93115,                0.80489,                0.67327,                0.75348,                0.44625,                 1.5382,                 1.0816,                  1.333,             0.00033606,             0.00033606,             0.00033606
                    194,                0.84458,                 0.5306,                0.93756,                0.82453,                0.65826,                0.74593,                0.45108,                 1.5168,                 1.0709,                 1.3175,             0.00033306,             0.00033306,             0.00033306
                    195,                0.86277,                0.53456,                 0.9398,                0.81001,                0.69011,                 0.7546,                0.46324,                 1.5252,                 1.0637,                 1.3094,             0.00033006,             0.00033006,             0.00033006
                    196,                0.84723,                0.53184,                0.93955,                0.78905,                0.65843,                0.74758,                0.46023,                 1.5398,                 1.0566,                 1.3226,             0.00032706,             0.00032706,             0.00032706
                    197,                0.84488,                0.52468,                 0.9262,                0.79609,                0.66017,                 0.7474,                0.45181,                 1.5313,                 1.0804,                 1.3125,             0.00032406,             0.00032406,             0.00032406
                    198,                0.85004,                0.53087,                0.93295,                0.81334,                0.65137,                0.75039,                0.45947,                 1.5299,                 1.0852,                 1.3126,             0.00032106,             0.00032106,             0.00032106
                    199,                0.84884,                0.52987,                0.93772,                0.76458,                0.71209,                0.75693,                0.45947,                  1.538,                 1.0751,                 1.3282,             0.00031806,             0.00031806,             0.00031806
                    200,                0.84502,                0.52864,                0.93767,                 0.7913,                0.72174,                0.75927,                0.46008,                 1.5387,                 1.0609,                 1.3363,             0.00031506,             0.00031506,             0.00031506
                    201,                0.84925,                0.52964,                0.93423,                0.80529,                 0.7048,                0.76803,                0.46083,                 1.5295,                   1.05,                  1.334,             0.00031206,             0.00031206,             0.00031206
                    202,                0.84415,                0.52779,                0.93968,                0.79284,                0.71228,                0.76687,                0.46143,                 1.5325,                 1.0088,                 1.3447,             0.00030906,             0.00030906,             0.00030906
                    203,                0.83112,                0.51627,                0.92557,                0.83891,                0.67296,                0.75656,                0.45352,                 1.5498,                 1.0406,                 1.3456,             0.00030606,             0.00030606,             0.00030606
                    204,                 0.8453,                0.53034,                 0.9351,                0.81246,                0.69255,                0.75741,                0.45939,                 1.5498,                 1.0562,                 1.3377,             0.00030306,             0.00030306,             0.00030306
                    205,                0.82218,                0.51502,                0.93436,                 0.8417,                 0.6856,                0.74466,                0.44104,                 1.5544,                 1.0664,                 1.3375,             0.00030006,             0.00030006,             0.00030006
                    206,                0.86251,                0.52909,                0.93434,                 0.8333,                0.67253,                 0.7538,                0.45232,                 1.5417,                 1.0624,                 1.3307,             0.00029706,             0.00029706,             0.00029706
                    207,                0.83307,                0.51827,                0.92814,                0.80123,                0.70048,                0.75456,                0.45771,                  1.508,                 1.0556,                 1.3107,             0.00029406,             0.00029406,             0.00029406
                    208,                 0.8184,                0.50915,                0.93681,                 0.8157,                0.70301,                0.76461,                0.45658,                 1.5189,                 1.0356,                 1.3128,             0.00029106,             0.00029106,             0.00029106
                    209,                0.82028,                0.50685,                0.92563,                0.83206,                 0.6829,                0.75492,                 0.4444,                 1.5452,                 1.0502,                 1.3231,             0.00028806,             0.00028806,             0.00028806
                    210,                0.82121,                0.51224,                0.92963,                0.78915,                0.69862,                0.75274,                0.44176,                 1.5503,                 1.0561,                 1.3339,             0.00028506,             0.00028506,             0.00028506
                    211,                0.84603,                0.53066,                0.92601,                0.81216,                0.69945,                0.75372,                0.45295,                 1.5271,                 1.0606,                 1.3266,             0.00028206,             0.00028206,             0.00028206
                    212,                0.82461,                0.51505,                0.92698,                0.78252,                0.69908,                0.75426,                0.46382,                 1.5286,                 1.0503,                 1.3316,             0.00027906,             0.00027906,             0.00027906
                    213,                0.83512,                0.52352,                 0.9313,                0.82472,                0.69084,                0.75195,                0.45015,                 1.5436,                 1.0416,                 1.3354,             0.00027606,             0.00027606,             0.00027606
                    214,                0.83692,                 0.5189,                0.93075,                0.82942,                0.69387,                0.75588,                0.45389,                 1.5268,                 1.0521,                 1.3293,             0.00027306,             0.00027306,             0.00027306
                    215,                 0.8147,                0.51091,                0.93205,                0.82683,                 0.6854,                 0.7688,                0.46035,                  1.538,                 1.0365,                 1.3392,             0.00027006,             0.00027006,             0.00027006
                    216,                0.82161,                0.50334,                0.92215,                0.81778,                0.69687,                0.76322,                0.46176,                 1.5539,                 1.0736,                 1.3425,             0.00026706,             0.00026706,             0.00026706
                    217,                 0.8022,                0.49994,                0.92178,                0.81997,                 0.6989,                0.75765,                0.46528,                 1.5521,                 1.0764,                 1.3478,             0.00026406,             0.00026406,             0.00026406
                    218,                0.80768,                0.50321,                0.92409,                0.79012,                0.71614,                0.76188,                0.46649,                 1.5503,                  1.048,                 1.3484,             0.00026106,             0.00026106,             0.00026106
                    219,                 0.8354,                0.51211,                0.92604,                0.80064,                0.69767,                0.75562,                0.45294,                 1.5418,                 1.0423,                  1.351,             0.00025807,             0.00025807,             0.00025807
                    220,                 0.8172,                0.51664,                0.92318,                0.81924,                0.69195,                 0.7538,                0.45401,                 1.5346,                 1.0668,                 1.3384,             0.00025507,             0.00025507,             0.00025507
                    221,                0.83985,                0.51653,                0.93008,                0.84685,                0.67839,                0.75948,                0.45969,                 1.5353,                 1.0578,                 1.3334,             0.00025207,             0.00025207,             0.00025207
                    222,                0.82574,                0.50602,                0.92761,                0.81354,                0.71178,                0.76493,                0.46306,                 1.5227,                  1.039,                 1.3209,             0.00024907,             0.00024907,             0.00024907
                    223,                0.81643,                0.51212,                 0.9317,                0.82226,                 0.7119,                0.75877,                0.46042,                 1.5321,                 1.0231,                 1.3277,             0.00024607,             0.00024607,             0.00024607
