                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2457,                0.97349,                 1.1002,                0.69051,                0.68198,                0.70371,                0.40237,                  1.544,                 1.2098,                 1.2754,             0.00081001,             0.00081001,             0.00081001
                     36,                 1.2417,                0.96367,                 1.0992,                0.73924,                0.66601,                0.70756,                0.40435,                  1.538,                 1.1991,                 1.2759,             0.00080701,             0.00080701,             0.00080701
                     37,                 1.2597,                0.98661,                 1.1075,                0.73737,                0.65055,                0.69234,                0.40049,                 1.5616,                 1.2398,                 1.2842,             0.00080401,             0.00080401,             0.00080401
                     38,                 1.2348,                0.96726,                 1.0916,                0.72027,                0.65081,                0.69045,                0.40373,                 1.5286,                 1.1877,                 1.2667,             0.00080101,             0.00080101,             0.00080101
                     39,                 1.2525,                0.98459,                 1.0975,                0.75624,                0.64515,                0.69588,                0.40967,                 1.5302,                 1.2495,                 1.2918,             0.00079801,             0.00079801,             0.00079801
                     40,                 1.2188,                0.94421,                 1.0862,                 0.7343,                0.62495,                0.65497,                0.37697,                 1.5746,                 1.2507,                  1.291,             0.00079501,             0.00079501,             0.00079501
                     41,                  1.245,                0.95732,                 1.0927,                0.72464,                0.64687,                0.70543,                0.41548,                 1.5364,                 1.2292,                 1.2854,             0.00079201,             0.00079201,             0.00079201
                     42,                 1.2513,                0.96719,                 1.0975,                0.75106,                0.62623,                 0.6897,                0.39994,                 1.5641,                 1.2507,                 1.2806,             0.00078901,             0.00078901,             0.00078901
                     43,                 1.2324,                0.93392,                 1.0941,                0.76512,                0.60066,                0.67189,                 0.3883,                 1.5774,                 1.2059,                 1.3084,             0.00078601,             0.00078601,             0.00078601
                     44,                 1.2269,                0.95099,                 1.0907,                0.74277,                0.64515,                0.68559,                0.40186,                 1.5529,                 1.2382,                 1.2737,             0.00078301,             0.00078301,             0.00078301
                     45,                 1.2619,                0.95224,                 1.0963,                0.74097,                0.64135,                0.69832,                0.41483,                 1.5458,                 1.1788,                 1.2819,             0.00078001,             0.00078001,             0.00078001
                     46,                 1.2289,                0.92944,                 1.0914,                0.72355,                 0.6693,                0.69632,                0.40591,                 1.5409,                  1.183,                 1.2938,             0.00077701,             0.00077701,             0.00077701
                     47,                 1.2183,                0.90906,                 1.0874,                0.74013,                0.63891,                0.70429,                0.40714,                 1.5193,                 1.1787,                  1.281,             0.00077401,             0.00077401,             0.00077401
                     48,                 1.2254,                0.90208,                 1.0869,                0.72563,                0.61573,                0.67018,                 0.3944,                 1.5612,                   1.27,                 1.3018,             0.00077101,             0.00077101,             0.00077101
                     49,                 1.2123,                0.89441,                 1.0834,                0.76589,                0.65481,                0.71833,                0.42067,                 1.5027,                 1.1806,                 1.2647,             0.00076801,             0.00076801,             0.00076801
                     50,                 1.2207,                0.89232,                 1.0804,                0.76309,                0.64999,                0.71415,                0.41449,                 1.5352,                  1.189,                 1.2697,             0.00076501,             0.00076501,             0.00076501
                     51,                 1.1842,                0.88272,                  1.067,                0.82399,                0.64364,                0.72795,                0.41668,                 1.5187,                 1.1452,                 1.2696,             0.00076201,             0.00076201,             0.00076201
                     52,                 1.1861,                0.86838,                 1.0693,                0.73817,                0.64439,                 0.6995,                0.40667,                 1.5683,                 1.2193,                 1.2834,             0.00075902,             0.00075902,             0.00075902
                     53,                 1.1907,                0.86396,                   1.06,                0.74211,                0.64418,                0.68574,                0.39334,                 1.5911,                 1.1937,                 1.3036,             0.00075602,             0.00075602,             0.00075602
                     54,                 1.2036,                0.85087,                 1.0747,                0.69568,                0.70644,                0.71864,                0.42162,                 1.5138,                 1.1462,                 1.2551,             0.00075302,             0.00075302,             0.00075302
                     55,                 1.1585,                0.82655,                  1.056,                0.76409,                0.64632,                0.72182,                0.42738,                 1.5424,                 1.1502,                  1.287,             0.00075002,             0.00075002,             0.00075002
                     56,                 1.1308,                0.82618,                 1.0555,                0.75575,                0.65727,                0.68957,                0.40408,                 1.5173,                 1.1545,                 1.2756,             0.00074702,             0.00074702,             0.00074702
                     57,                 1.1764,                0.84248,                 1.0678,                0.72032,                0.67393,                0.71537,                 0.4151,                 1.5284,                 1.1503,                 1.2888,             0.00074402,             0.00074402,             0.00074402
                     58,                 1.1721,                0.82768,                 1.0668,                 0.7562,                 0.6687,                0.71297,                0.42005,                 1.5293,                 1.1828,                 1.2878,             0.00074102,             0.00074102,             0.00074102
                     59,                 1.1446,                 0.8342,                 1.0505,                0.77101,                0.67619,                0.71011,                0.41532,                 1.5365,                 1.1453,                 1.2935,             0.00073802,             0.00073802,             0.00073802
                     60,                 1.1613,                0.83692,                 1.0633,                0.74753,                0.63176,                0.69434,                0.41436,                 1.5321,                  1.159,                 1.2951,             0.00073502,             0.00073502,             0.00073502
                     61,                 1.1778,                 0.8284,                 1.0606,                0.76202,                0.66995,                0.71848,                0.42551,                 1.5025,                 1.1106,                 1.2632,             0.00073202,             0.00073202,             0.00073202
                     62,                   1.16,                0.81691,                 1.0548,                0.77154,                0.67527,                 0.7236,                0.43227,                 1.5178,                 1.1388,                 1.2647,             0.00072902,             0.00072902,             0.00072902
                     63,                 1.1558,                0.82288,                 1.0628,                0.77818,                0.69279,                0.73078,                0.43317,                 1.5433,                 1.1473,                 1.2924,             0.00072602,             0.00072602,             0.00072602
                     64,                 1.1666,                0.81754,                 1.0607,                 0.7854,                0.68571,                0.73555,                0.43431,                 1.5226,                 1.1199,                 1.2792,             0.00072302,             0.00072302,             0.00072302
                     65,                 1.1272,                 0.7956,                 1.0555,                0.78796,                0.69946,                 0.7447,                0.44197,                  1.521,                 1.0897,                 1.2629,             0.00072002,             0.00072002,             0.00072002
                     66,                 1.1245,                0.80298,                  1.056,                0.74392,                0.67405,                 0.7169,                0.41919,                 1.5341,                 1.0813,                 1.2785,             0.00071702,             0.00071702,             0.00071702
                     67,                 1.1344,                0.79219,                 1.0452,                0.77268,                0.67952,                0.73353,                0.43912,                 1.5383,                 1.1165,                 1.2865,             0.00071402,             0.00071402,             0.00071402
                     68,                 1.1135,                0.77468,                 1.0329,                0.73193,                  0.666,                0.71367,                 0.4321,                 1.5411,                 1.1266,                 1.2929,             0.00071102,             0.00071102,             0.00071102
                     69,                 1.1586,                0.77627,                 1.0483,                0.78254,                0.66483,                0.71512,                0.42791,                 1.5231,                 1.1182,                 1.2776,             0.00070802,             0.00070802,             0.00070802
                     70,                 1.1122,                0.76533,                 1.0354,                0.78072,                 0.6402,                0.73308,                0.43405,                 1.5111,                 1.1004,                  1.253,             0.00070502,             0.00070502,             0.00070502
                     71,                 1.1346,                0.78245,                 1.0517,                0.77429,                0.67754,                0.73019,                0.41801,                 1.5363,                 1.1054,                 1.2805,             0.00070202,             0.00070202,             0.00070202
                     72,                 1.1311,                0.78849,                 1.0392,                0.78433,                0.67174,                0.74533,                0.43513,                  1.526,                 1.0952,                 1.2636,             0.00069902,             0.00069902,             0.00069902
